filing_date,cik,company_name,form_type,filing_date,accession,ticker
2020-03-30,1000209,MEDALLION FINANCIAL CORP,10-K,2020-03-30,0001564590-20-014310,mbnkp
2020-02-20,1000228,HENRY SCHEIN INC,10-K,2020-02-20,0001000228-20-000018,hsic
2020-02-10,1000229,CORE LABORATORIES N V,10-K,2020-02-10,0001564590-20-004075,clb
2020-01-27,1000230,OPTICAL CABLE CORP,10-K,2020-01-27,0001437749-20-001224,occ
2020-03-10,1000232,KENTUCKY BANCSHARES INC /KY/,10-K,2020-03-10,0001558370-20-002327,ktyb
2020-03-13,1000298,IMPAC MORTGAGE HOLDINGS INC,10-K,2020-03-13,0001558370-20-002683,imphp
2020-03-02,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,10-K,2020-03-02,0001000623-20-000048,swm
2020-03-11,1000694,NOVAVAX INC,10-K,2020-03-11,0001104659-20-031944,nvax
2020-02-25,1000697,WATERS CORP /DE/,10-K,2020-02-25,0001193125-20-048303,wat
2020-02-12,1000753,"INSPERITY, INC.",10-K,2020-02-12,0001000753-20-000013,nsp
2020-02-19,1001082,DISH Network CORP,10-K,2020-02-19,0001558370-20-000945,dish
2020-03-27,1001171,BROADWAY FINANCIAL CORP \DE\,10-K,2020-03-27,0001047469-20-001882,byfc
2020-02-13,100122,TUCSON ELECTRIC POWER CO,10-K,2020-02-13,0000100122-20-000006,
2020-02-28,1001233,"SANGAMO THERAPEUTICS, INC",10-K,2020-02-28,0001628280-20-002582,sgmo
2020-03-02,1001316,"TG THERAPEUTICS, INC.",10-K,2020-03-02,0001558370-20-001897,tgtx
2020-03-03,1001385,NORTHWEST PIPE CO,10-K,2020-03-03,0001437749-20-004236,nwpx
2020-03-30,1001601,"MGT CAPITAL INVESTMENTS, INC.",10-K,2020-03-30,0001493152-20-005218,mgti
2020-03-30,1001614,TENGASCO INC,10-K,2020-03-30,0001140361-20-007405,repx
2020-02-28,1001838,SOUTHERN COPPER CORP/,10-K,2020-02-28,0001558370-20-001781,scco
2020-02-12,1001902,INTEVAC INC,10-K,2020-02-12,0001193125-20-033196,ivac
2020-02-28,1002910,AMEREN CORP,10-K,2020-02-28,0001002910-20-000077,aee
2020-03-13,1003201,"MMA Capital Holdings, Inc.",10-K,2020-03-13,0001558370-20-002605,mmac
2020-02-25,1003410,DUKE REALTY Ltd PARTNERSHIP/,10-K,2020-02-25,0000783280-20-000010,
2020-03-25,1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,10-K,2020-03-25,0001193125-20-085434,
2020-03-04,1003815,BCTC IV ASSIGNOR CORP,10-K,2020-03-04,0001003815-20-000002,
2020-02-19,1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/,10-K,2020-02-19,0000899715-20-000057,
2020-02-20,1004155,SOUTHERN Co GAS,10-K,2020-02-20,0000092122-20-000017,
2020-02-28,1004434,"AFFILIATED MANAGERS GROUP, INC.",10-K,2020-02-28,0001004434-20-000011,aatrl
2020-02-28,1004702,OCEANFIRST FINANCIAL CORP,10-K,2020-02-28,0001004702-20-000027,ocfcp
2020-03-27,1004724,"REGIONAL HEALTH PROPERTIES, INC",10-K,2020-03-27,0001564590-20-013602,rhe-pa
2020-02-18,1004980,PG&E Corp,10-K,2020-02-18,0001004980-20-000009,pcgu
2020-02-11,1005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC",10-K,2020-02-11,0001005011-20-000005,
2020-02-25,100517,"United Airlines Holdings, Inc.",10-K,2020-02-25,0000100517-20-000010,ual
2020-03-10,1005201,"Assertio Therapeutics, Inc",10-K,2020-03-10,0001005201-20-000021,
2020-02-20,1005284,UNIVERSAL DISPLAY CORP \PA\,10-K,2020-02-20,0001564590-20-005548,oled
2020-03-12,1005409,DIME COMMUNITY BANCSHARES INC,10-K,2020-03-12,0001140361-20-005636,
2020-02-21,1005757,CSG SYSTEMS INTERNATIONAL INC,10-K,2020-02-21,0001564590-20-005691,csgs
2020-03-02,1005817,TOMPKINS FINANCIAL CORP,10-K,2020-03-02,0001005817-20-000005,tmp
2020-03-13,1006045,IRIDEX CORP,10-K,2020-03-13,0001564590-20-010869,irix
2020-03-12,1006269,LORAL SPACE & COMMUNICATIONS INC.,10-K,2020-03-12,0001558370-20-002499,lorl
2020-03-12,1006281,"Protalix BioTherapeutics, Inc.",10-K,2020-03-12,0001104659-20-032540,plx
2020-03-16,1006837,"HC2 HOLDINGS, INC.",10-K,2020-03-16,0001006837-20-000044,hchc
2020-01-29,1007019,COFFEE HOLDING CO INC,10-K,2020-01-29,0001493152-20-001327,jva
2020-03-30,100716,UNICO AMERICAN CORP,10-K,2020-03-30,0000100716-20-000021,unam
2020-03-06,1007273,BANK OF SOUTH CAROLINA CORP,10-K,2020-03-06,0001387131-20-002611,bksc
2020-03-12,1007330,"PRGX GLOBAL, INC.",10-K,2020-03-12,0001007330-20-000003,
2020-02-28,1007587,KVH INDUSTRIES INC \DE\,10-K,2020-02-28,0001007587-20-000004,kvhi
2020-02-07,100790,UNION CARBIDE CORP /NEW/,10-K,2020-02-07,0000029915-20-000003,
2020-02-28,100826,UNION ELECTRIC CO,10-K,2020-02-28,0001002910-20-000077,uepco
2020-03-12,1008654,TUPPERWARE BRANDS CORP,10-K,2020-03-12,0001008654-20-000018,tup
2020-02-28,1008848,ACORDA THERAPEUTICS INC,10-K,2020-02-28,0001564590-20-007789,acor
2020-02-07,100885,UNION PACIFIC CORP,10-K,2020-02-07,0000100885-20-000065,unp
2020-03-27,1009891,AIR INDUSTRIES GROUP,10-K,2020-03-27,0001213900-20-007657,airi
2020-03-05,1010086,SIGA TECHNOLOGIES INC,10-K,2020-03-05,0001010086-20-000006,siga
2020-02-27,1010612,SYKES ENTERPRISES INC,10-K,2020-02-27,0001564590-20-007363,syke
2020-03-30,1011432,"CYNERGISTEK, INC",10-K,2020-03-30,0001445866-20-000277,ctek
2020-01-31,1011452,"Medical Information Technology, Inc.",10-K,2020-01-31,0001011452-20-000002,
2020-02-27,1011509,Golden Minerals Co,10-K,2020-02-27,0001558370-20-001509,aumn
2020-02-21,1011570,KNOLL INC,10-K,2020-02-21,0001011570-20-000010,knl
2020-02-26,1011659,MUFG Americas Holdings Corp,10-K,2020-02-26,0001628280-20-002326,
2020-02-28,101199,UNITED FIRE GROUP INC,10-K,2020-02-28,0000101199-20-000032,ufcs
2020-02-26,1012019,RUSH ENTERPRISES INC \TX\,10-K,2020-02-26,0001437749-20-003589,rushb
2020-03-02,1012100,SEALED AIR CORP/DE,10-K,2020-03-02,0001628280-20-002658,see
2020-03-16,1012477,AVADEL PHARMACEUTICALS PLC,10-K,2020-03-16,0001012477-20-000007,avdl
2020-02-26,1012771,FBL FINANCIAL GROUP INC,10-K,2020-02-26,0001012771-20-000009,ffg
2020-03-26,101295,UNITED GUARDIAN INC,10-K,2020-03-26,0001171843-20-002021,ug
2020-03-13,1013272,NORWOOD FINANCIAL CORP,10-K,2020-03-13,0001193125-20-072309,nwfl
2020-02-27,1013462,ANSYS INC,10-K,2020-02-27,0001013462-20-000004,anss
2020-02-25,1013488,BJs RESTAURANTS INC,10-K,2020-02-25,0001564590-20-006165,bjri
2020-03-11,1013606,ENDOLOGIX INC /DE/,10-K,2020-03-11,0001013606-20-000026,
2020-03-30,1013706,"Wilhelmina International, Inc.",10-K,2020-03-30,0001171843-20-002129,whlm
2020-02-27,101382,UMB FINANCIAL CORP,10-K,2020-02-27,0001564590-20-007046,umbf
2020-02-12,1013857,PEGASYSTEMS INC,10-K,2020-02-12,0001013857-20-000007,pega
2020-02-27,1013871,"NRG ENERGY, INC.",10-K,2020-02-27,0001013871-20-000013,nrg
2020-03-04,1013880,"TTEC Holdings, Inc.",10-K,2020-03-04,0001558370-20-002033,ttec
2020-03-02,1013934,"Strategic Education, Inc.",10-K,2020-03-02,0001013934-20-000004,stra
2020-02-14,1014473,VERISIGN INC/CA,10-K,2020-02-14,0001014473-20-000006,vrsn
2020-03-05,1014739,"Option Care Health, Inc.",10-K,2020-03-05,0001014739-20-000013,opch
2020-03-30,1014763,AMARILLO BIOSCIENCES INC,10-K,2020-03-30,0001437749-20-006575,amar
2020-02-28,1015328,WINTRUST FINANCIAL CORP,10-K,2020-02-28,0001015328-20-000067,wtfcp
2020-02-18,1015739,AWARE INC /MA/,10-K,2020-02-18,0001104659-20-022309,awre
2020-02-19,1015780,E TRADE FINANCIAL CORP,10-K,2020-02-19,0001015780-20-000065,
2020-03-30,101594,US ENERGY CORP,10-K,2020-03-30,0001493152-20-005194,useg
2020-03-03,1016169,"ANTARES PHARMA, INC.",10-K,2020-03-03,0001564590-20-008465,atrs
2020-02-28,1016281,CARRIAGE SERVICES INC,10-K,2020-02-28,0001016281-20-000035,csv
2020-02-27,1017110,GENETHERA INC,10-K,2020-02-27,0001654954-20-001984,gthr
2020-03-16,1017303,TRANSACT TECHNOLOGIES INC,10-K,2020-03-16,0001017303-20-000012,tact
2020-03-17,1017491,"SEELOS THERAPEUTICS, INC.",10-K,2020-03-17,0001136261-20-000092,seel
2020-03-30,1017655,PAID INC,10-K,2020-03-30,0001654954-20-003514,payd
2020-03-05,1017673,DOVER MOTORSPORTS INC,10-K,2020-03-05,0001104659-20-029718,dvd
2020-02-20,101778,MARATHON OIL CORP,10-K,2020-02-20,0000101778-20-000023,mro
2020-03-12,1018164,WILLIS LEASE FINANCE CORP,10-K,2020-03-12,0001018164-20-000008,wlfc
2020-02-18,1018254,UNITED DOMINION REALTY L P,10-K,2020-02-18,0000074208-20-000031,
2020-02-06,101829,UNITED TECHNOLOGIES CORP /DE/,10-K,2020-02-06,0000101829-20-000013,rtx
2020-03-10,1018399,ENTERPRISE BANCORP INC /MA/,10-K,2020-03-10,0001018399-20-000019,ebtc
2020-01-31,1018724,AMAZON COM INC,10-K,2020-01-31,0001018724-20-000004,amzn
2020-03-31,1018840,ABERCROMBIE & FITCH CO /DE/,10-K,2020-03-31,0001018840-20-000021,anf
2020-02-25,1018963,ALLEGHENY TECHNOLOGIES INC,10-K,2020-02-25,0001018963-20-000004,ati
2020-02-25,1018979,AMERISAFE INC,10-K,2020-02-25,0001564590-20-006372,amsf
2020-02-21,1019849,"PENSKE AUTOMOTIVE GROUP, INC.",10-K,2020-02-21,0001558370-20-001163,pag
2020-03-16,101984,UNIVERSAL ELECTRONICS INC,10-K,2020-03-16,0000101984-20-000009,ueic
2020-02-21,1020214,CERUS CORP,10-K,2020-02-21,0001564590-20-005756,cers
2020-02-13,1020569,IRON MOUNTAIN INC,10-K,2020-02-13,0001020569-20-000029,irm
2020-03-13,1020710,DXP ENTERPRISES INC,10-K,2020-03-13,0001020710-20-000015,dxpe
2020-03-27,1021270,"BBQ HOLDINGS, INC.",10-K,2020-03-27,0001558370-20-003261,bbq
2020-02-13,1021561,"NU SKIN ENTERPRISES, INC.",10-K,2020-02-13,0001140361-20-002997,nus
2020-03-24,1021604,ON TRACK INNOVATIONS LTD,10-K,2020-03-24,0001213900-20-007241,otivf
2020-02-27,1021635,OGE ENERGY CORP.,10-K,2020-02-27,0001021635-20-000016,oge
2020-02-13,1021860,NATIONAL OILWELL VARCO INC,10-K,2020-02-13,0001564590-20-004552,nov
2020-02-20,1022079,QUEST DIAGNOSTICS INC,10-K,2020-02-20,0001022079-20-000017,dgx
2020-02-28,102212,UNIVEST FINANCIAL Corp,10-K,2020-02-28,0000102212-20-000017,uvsp
2020-02-27,1022321,GENESIS ENERGY LP,10-K,2020-02-27,0001022321-20-000026,gel
2020-02-21,1022344,SIMON PROPERTY GROUP L P /DE/,10-K,2020-02-21,0001558370-20-001135,
2020-01-10,1022505,CIPHERLOC Corp,10-K,2020-01-10,0001493152-20-000463,clok
2020-03-16,1022652,INSEEGO CORP.,10-K,2020-03-16,0001022652-20-000007,insg
2020-02-27,1022671,STEEL DYNAMICS INC,10-K,2020-02-27,0001558370-20-001641,stld
2020-02-27,1023024,ANI PHARMACEUTICALS INC,10-K,2020-02-27,0001104659-20-025744,anip
