,cik,company_name,form_type,filing_date,accession,ticker
0,1000045,NICHOLAS FINANCIAL INC,10-K,2015-06-15,0001193125-15-223218,nick
20,1001258,ASTA FUNDING INC,10-K,2015-06-29,0001193125-15-239517,
28,1001463,"Acacia Diversified Holdings, Inc.",10-K,2015-05-20,0001185185-15-001386,acca
29,1001463,"Acacia Diversified Holdings, Inc.",10-K,2015-05-20,0001185185-15-001394,acca
34,1001601,MGT CAPITAL INVESTMENTS INC,10-K,2015-04-15,0001144204-15-022978,mgti
42,1002047,"NetApp, Inc.",10-K,2015-06-12,0001564590-15-005051,ntap
43,1002135,WESTELL TECHNOLOGIES INC,10-K,2015-05-22,0001002135-15-000015,wstl
66,1004989,SPAR GROUP INC,10-K,2015-04-15,0001437749-15-007398,sgrp
73,1005229,COLUMBUS MCKINNON CORP,10-K,2015-05-28,0001005229-15-000046,cmco
84,100591,ARGAN INC,10-K,2015-04-16,0001193125-15-131832,agx
87,1006045,IRIDEX CORP,10-K,2015-04-02,0001564590-15-002365,irix
105,1008586,STREAMLINE HEALTH SOLUTIONS INC.,10-K,2015-04-16,0001628280-15-002328,strm
112,1009759,CAPSTONE TURBINE Corp,10-K,2015-06-15,0001047469-15-005460,cgrn
115,1009925,"American Fiber Green Products, Inc.",10-K,2015-04-15,0001477932-15-002527,
127,1011290,99 CENTS ONLY STORES LLC,10-K,2015-04-22,0001104659-15-029330,
166,1014763,AMARILLO BIOSCIENCES INC,10-K,2015-04-13,0001014763-15-000006,amar
178,1016178,CARVER BANCORP INC,10-K,2015-06-29,0001016178-15-000008,carv
183,1017110,GENETHERA INC,10-K,2015-04-14,0001017110-15-000010,gthr
189,1017616,"ONE WORLD HOLDINGS, INC.",10-K,2015-04-14,0001445866-15-000437,
202,101830,SPRINT Corp,10-K,2015-05-26,0000101830-15-000012,
213,1019671,SEACHANGE INTERNATIONAL INC,10-K,2015-04-07,0001193125-15-121530,seac
221,102037,UNIVERSAL CORP /VA/,10-K,2015-05-22,0000102037-15-000017,uvv
223,1020475,"GRANDPARENTS.COM, INC.",10-K,2015-04-10,0001144204-15-022104,
232,1021096,ROOMLINX INC,10-K,2015-05-18,0001117768-15-000394,trkaw
233,1021162,TRIUMPH GROUP INC,10-K,2015-05-21,0001021162-15-000017,tgi
241,102198,CALMARE THERAPEUTICS Inc,10-K,2015-06-24,0001615774-15-001589,
246,1022408,EPLUS INC,10-K,2015-05-29,0001022408-15-000017,plus
266,1023731,8X8 INC /DE/,10-K,2015-05-29,0001136261-15-000166,eght
274,1024626,"CANNABIS SCIENCE, INC.",10-K,2015-04-21,0001517126-15-000097,
275,1024628,ZAP,10-K,2015-04-15,0001214659-15-003085,
